Placement,Name,Score,Time
656,693472654,4106285,28:30.9
657,Player1328016,4107985,36:26.4
658,Ape,4108350,21:51.3
659,IM_JUST_GAMIN,4109745,22:18.4
660,Chayfilay,4117220,28:30
661,lazyc97,4117870,20:13.6
662,Adriel_ter,4128290,48:24.2
663,JaiLing,4129615,44:41.1
664,Player,4134855,34:30.6
665,hugarvey66,4137665,29:22.8
666,Scooby doo pa,4146555,31:43.8
667,Bob da balloon,4150310,31:41.4
668,Player,4152495,31:26.6
669,Achi,4159040,29:51.6
670,AmberLeader3789,4171830,25:15
671,Toxic,4172620,37:41.2
672,SykadeliK,4174705,37:33.5
673,jpgamegek,4176920,23:26
674,LeFlyathon,4184820,25:46.6
675,ApplePieCZ,4188405,29:50.2
676,yizhizhenqizhou,4195475,40:45.2
677,adam.sz1403,4197590,38:52.2
678,PikiFox7,4198385,21:58.9
679,What You Say,4203310,24:21.2
680,dylankrid38,4203440,29:41.6
681,Bobby,4206215,35:13.6
682,Ducks,4207025,26:40.3
683,Player,4208230,25:40.8
684,bell0214,4218090,24:25
685,DrPardon,4218375,25:55.1
686,kh,4218560,26:37.6
687,UpsetDominance1,4220960,29:33.2
688,HomingMissel,4222735,22:38.9
689,topaz2698,4223105,20:49.5
690,-+HenryH+-,4229620,24:07.4
691,BlueSoup26,4232095,23:20.7
692,Kirn,4234875,42:14
693,LearyHa,4237015,30:27.8
694,SugaredWolf898,4237320,39:56.2
695,Norika Fletcher,4240810,29:53.1
696,LandHo12,4242700,37:11.1
697,GamerDLB02,4243145,31:53.8
698,handy,4243780,43:52.5
699,Player,4244850,39:44
700,Player8695044,4247765,20:55
701,SirDodo1887,4250295,38:22.1
702,OliveKnight2511,4254240,37:18.9
703,JuanJo G,4266595,29:38.2
704,LyanaDione21,4267830,24:39.7
705,ToKSiiK,4272510,32:11.3
706,Luizfcfelix,4275755,21:53.6
707,MooseNous,4278670,23:28.7
708,Dylan Brush,4279615,26:07.2
709,Angel,4291035,43:18.4
710,Bear,4293855,39:08.4
711,jian,4300555,21:01
712,Diego27kpro,4300845,19:23.6
713,Baby_Sparta,4302445,26:38.6
714,ButterGoat820,4304375,28:08.1
715,DarkShadow,4307795,24:19.1
716,Vaxioo,4308255,26:10.2
717,Cheesecake,4310475,21:49.6
718,Migeru,4310510,24:23.5
719,noahbackes2,4312440,19:02.3
720,Justin,4314805,23:37
721,Mr Deamer,4315010,26:40.1
722,axelpat88,4317355,42:06.1
723,CrangesMcBBall,4318555,39:47.6
724,Le_Paladin45,4319130,31:31.3
725,BeterThanU1889,4320960,39:01.6
726,Player,4324040,54:47.7
727,Werku,4324350,30:30.5
728,Ciapek,4325260,24:27.9
729,SaxualPenguin,4332040,25:24.7
730,scarpini,4333055,24:56
731,OoharaMen,4340635,20:57
732,Snowiries,4340775,33:54.3
733,ilial,4345810,25:49.9
734,KineT,4348425,24:48.7
735,NauticalShark12,4352335,16:03.8
736,JonesJam,4352930,24:55.7
737,Spork,4354495,24:31.2
738,Electricskull,4354670,44:04.4
739,Player,4357405,35:21.7
740,Shen,4357525,24:45.2
741,Player8000551,4357615,25:43.3
742,michalba,4363250,40:57.8
743,WeepyDuckling22,4364130,25:25.9
744,FlareKitty,4376260,44:25.1
745,Coco,4376740,23:12.7
