Placement,Name,Score
491,Redrage,391080,38:58.8
492,DeadBush,391310,33:53.5
493,El Barto,391425,39:15.7
494,br8k,391875,38:38.7
495,A DISPLAYNAME,391950,39:24.5
496,Random Keed,392100,42:58.8
497,Kakakarotcake,393540,20:12.4
498,chopchob,393790,37:53.2
499,Liam,394215,39:28.5
500,Dbtriol,394335,39:51.8
501,Tobler91,395895,34:18
502,fatchiken,396175,36:30.9
503,Player,396680,41:04
504,Magikarp_Gamer,396840,32:09.3
505,PsykomanT,397150,52:21.9
506,Kidd,397800,29:40.1
507,spicybanana,397820,29:53.7
508,Talis,398675,33:30.5
509,wonder_joy0,399075,48:46.3
510,lazze,399940,39:36.4
511,Jegrath,400670,42:12
512,ryan,400770,36:08.5
513,Spitefulmonkey,401630,26:18
514,PKU_PHY,401950,53:41.3
515,hcaushi,401980,35:48.1
516,Tong Lexuan,402615,34:33.9
517,SF3L,402705,35:27.9
518,steamyapplepie,404535,44:49
519,500kg(OP)noob,405075,42:18.2
520,kke,405560,30:38.4
521,lingdish,407175,35:01.5
522,MugiTheCat,407335,38:53
523,Sleepo,408250,37:12
524,daxiong369,408975,27:37.6
525,Noobexpert,409150,32:46.2
526,Zwel,409335,39:21.3
527,479290165,409490,45:57.5
528,SomeWabalan,410575,24:34.1
529,satanangelking,410880,29:09.2
530,F4L,410895,32:33.3
531,Tygovanschie,411200,39:34.2
532,Zony,411620,32:02.5
533,xrlylyl,411625,57:09
534,PlonicGaming,414770,26:58.2
535,xton_4,415390,37:32.8
536,RoaringChief42,416175,33:03.4
537,Hash Brown,416450,30:09.3
538,KOA,417015,50:39.7
539,HSH,417050,29:07.6
540,CHenMoOn,417400,35:59.1
541,Player3723172,418235,33:43.8
542,Turbidwine,418790,33:20.4
543,Player,419060,38:36.8
544,AwesomeGem2229,419150,45:01.7
545,Pelagiius,419570,46:49.5
546,Berkano,420190,28:50.8
547,bedjoedan,420710,37:53.9
548,ValiantBadger23,420895,28:35
549,2978710005,421625,20:52.6
550,Teits,422070,41:00.4
551,G3neral51,422690,32:47
552,Jubix,422900,35:41.2
553,Player,425280,32:48.9
554,X8ter,426445,43:26.8
555,Ace3,430410,36:47.4
556,MEZMO,431015,39:06.7
557,XWDIMITRIEWX,431105,42:27.3
558,Ayeccs,433220,33:40.6
559,xiaoxi,433325,35:15
560,Montyy,433570,39:42
561,TripleCakeTime,434795,27:46.9
562,P3YT0N,435725,38:38.9
563,Enyo,438020,48:12.2
564,kingap,438305,34:42.2
565,Tealia,438340,32:55.1
566,kuonoxda,438705,38:20.4
567,Pablo Gnite,438985,46:29.4
568,mrsquie,439370,32:25.2
569,LenyNotFound,439540,25:13.9
570,Octo,439795,30:58.7
571,AyuzZZ,440960,34:14.6
572,Eirik Holt,441105,31:26.8
573,HerdezSalsa,441430,48:00
574,StarrySkyDF3,441710,24:03.7
575,Stinky Cheese,441835,27:19.3
576,CheeseForeskin,442805,34:33.1
577,Tur1n9,443625,39:00.1
578,mendoukusai,443940,32:57.6
579,Michax,443950,41:58.2
580,DocDapper,444300,28:47.3
581,DZ,444540,42:39.4
582,Player,446485,38:09.4
583,skrunkewunk,446495,24:46.1
584,xinxianxiaoyu,446500,36:14.1
585,HypnoBlaze,447465,41:44
586,Klefki98,448285,42:13.9
587,EcoAlpha,448820,39:05.1
588,abcdef420,448905,38:34
589,Furkan Is,449050,40:41.6
590,dinosstratojohn,449490,24:18.6
591,Grim Reaper,450080,22:01
592,megumi,450340,31:47.8
593,Biznesmenel,451225,17:09
594,VITTI,451940,61:32.4
595,Black Lock,452060,28:29.8
596,PowerDino3773,452510,46:42.2
597,guojia123,453970,36:16.6
598,Marcoarchmage2,454915,32:43.8
599,ZM1955,455005,34:55.8
600,laplacian,456090,24:59.4
601,forlomin,456200,39:53.5
602,Player5905982,456360,41:14.8
603,1173498712,456585,32:14.8
604,M.A.D,456835,36:51.9
605,malygos,458845,35:32.5
606,2889879614,459105,42:35.8
607,Marisco,459690,31:06.4
608,Drexophilia,459945,47:16
609,Player5466223,460795,37:41.2
610,C_wizzy95,460835,36:53.9
611,damian030801,461210,30:39.4
612,Bob Bobowski,461310,27:41.3
613,bknobel,461665,33:11.1
614,Player,462785,28:47.6
615,Pudding,463385,27:37.4
616,Loconch,463845,35:13.3
617,WarrenG1001,463980,38:40.2
618,JordanTCFANN,464005,39:51.2
619,zun,464025,22:58.1
620,also hi,464220,39:50.1
621,940909681,464660,37:51.2
622,Myrrh the maid,465015,33:55.1
623,fattyboomstic,465365,38:53.2
624,_np_np_,465980,29:23.4
625,LULAWS,466275,39:48.8
626,BenTheRevenant,466870,29:06
627,hakka17,467055,48:16
628,Navaness,467200,32:30.8
629,Gerhard,467515,28:05.4
630,Max_Power_HS,467695,40:43
631,Objectsp,468405,43:27.3
632,Mangey,469245,35:01.4
633,Player_0,470485,39:50.3
634,Tea,470815,25:51.8
635,mikaj1,471290,24:46.3
636,bookVa,471305,45:46.3
637,W_w_W_123,471515,32:19.8
638,Mihnea,472543,58:35
639,Robbe,473555,32:48
640,Petrichor,473625,34:08
641,Karbonite,474255,21:13.5
642,wyderp,474260,27:24.4
643,Ares,474505,34:54.7
644,BeegBrownie,474655,35:17.8
645,lancardxx,474720,34:03.1
646,Alpha Ir,475720,30:18.8
647,Exotic Ralsei,476055,46:27.4
648,MrHbaba,477465,34:58.7
