Placement,Name,Score
678,rvcn_47,164170,37:39.3
679,Zach,164220,24:34
680,alex  o connor,164335,63:57.7
681,DemoLiberTF2,164360,37:41.7
682,mikeguylol,164515,39:16.7
683,Bombmaster,164710,26:41.6
684,Olli09Bon,164820,29:38.5
685,Sutairisu,164885,34:29.8
686,bankennkun,164925,27:51.7
687,Derp,164940,25:53.3
688,Yasamura,165200,41:28.4
689,Cetintas,165280,27:07.3
690,GlueMaster1142,165565,29:43.1
691,Vegemite,165690,44:55.9
692,Jav1,165810,23:22
693,darata,165901,31:01
694,Viiv,165915,35:15.7
695,Beddish,166390,30:47.6
696,Power,166510,20:38.7
697,Aurora,166555,41:31.7
698,Boomstamper,166625,25:37.8
699,Diamonds62,166630,61:21.1
700,bobobob,166905,42:23
701,Eskahar,166945,29:21.5
702,Nugget0797,167105,28:00
703,Missminimi,167120,39:47.2
704,malkgamerlol,167175,41:03.3
705,ransino,167295,40:29.7
706,NotAFamousGuy,167400,41:00.8
707,Ceryneian,167605,23:29.1
708,Pheasan7,167655,24:16.1
709,Magrip,167655,59:18.3
710,MeKesh,167675,37:50.4
711,Whoiamiagain,167810,28:03.9
712,Yuki_15498,167900,38:45.2
713,FuryBlade787,168035,29:38
714,Whitehelm,168045,23:14.6
715,Vonek,168335,39:18.8
716,Kuro,168385,35:07.8
717,Nidhran,168470,57:58.3
718,Astlatic,168825,66:21.2
719,HappyBro5000,168880,29:32.8
720,.,169275,31:35.6
721,roelandiniho,169390,29:54.8
722,Trent,169460,42:25.2
723,Apple Pi,169560,54:19.5
724,Orange,169665,30:35
725,Super-GeneralP,170055,30:50.1
726,Brodie BTD,170065,42:32.1
727,Adekk,170080,39:27.1
728,Li_Li_ka,170120,40:16.8
729,lucarioriolu,170135,25:30
730,GX-DOTTO-,170135,32:16.1
731,Daniel2298026,170280,41:20.6
732,Seriousli,170300,38:13.5
733,BigBloonPopper,170310,32:00.7
734,Lyn_idk,170395,41:05
735,Risdekari,170405,48:10
736,Klugeee;,170435,43:25
737,CC,170455,29:19.6
738,WW 1 pt 3,170695,38:46.3
739,ROB.BY,171365,25:45
740,Pikmanfan2002,171390,27:08.4
741,EyliisaN420,171535,25:22.4
742,PotatoCraftsMC,171770,28:59.7
743,BloonPhoenix73,171785,26:39.1
744,Fireryred,171880,27:57.9
745,Suhrid,172070,51:53.8
746,oopsnoobs,172225,29:29.7
747,SleepyToucan302,172235,20:46.8
748,Sugma Clarinet,172295,40:36.1
749,McRitzy,172395,23:36.6
750,GiantBlimp69,172490,32:18.9
751,koxukot,172840,28:28
752,Plawiz,172860,25:30.2
753,CherryCola,173065,29:16
754,Dr.Lero,173190,26:28.4
755,demircaglar,173220,30:24.8
756,LongShanks,173285,29:13.4
757,C1UE chgno,173290,45:22.6
758,KNIDZIA,173355,41:29.7
759,Nevana,173440,27:22.8
760,Veagan101,173480,35:44.6
761,Kiyoi,173685,44:23.5
762,NoobMonky,173690,41:27.1
763,Yoka255,174060,29:12.8
764,IloveNaturez,174270,32:17.9
765,AwesomeGem2229,174305,24:18.5
766,Tommy,174330,54:33
767,gdjt5,174350,42:23.2
768,Jox,174390,54:37.6
769,linjiangzhixian,174570,44:15.4
770,iBenba,174820,27:34.9
771,Will,174945,35:31.6
772,Nocturnal,175300,34:51
773,Khavik,175455,50:41.4
774,mendoukusai,175760,41:11
775,Fury10,175765,37:17.9
776,Viduris,175815,26:28.8
777,Sigrid Service,175885,42:33.5
778,LonelyDog,176060,67:05.7
779,Kakakarotcake,176090,37:45.7
780,Totoren,176130,45:13.9
781,TommiPSV,176205,43:25.9
782,jonathism123,176280,40:57.3
783,ObsessivePIzza,176650,32:17.9
784,Abod_26,176655,33:22.5
785,Arti20,176785,22:55.5
786,chaosflow,176905,45:40.2
787,Churchill,177315,62:08.8
788,DSF100,177740,30:05.6
789,Zaqwe51,177900,27:31.1
790,Imtripp123,178300,35:44
791,Markus,178340,30:33.3
792,Detus,178405,22:59.4
793,Jadhen_15,178440,37:58
794,askliorask,178565,30:18.7
795,the globlin,178625,35:00.7
796,Avatar21,178735,50:29.3
797,Playerzmz100,178740,52:07.2
798,jiahao,178915,42:37.2
799,xXDavidXx,178945,29:55.7
800,ABUD0089,179091,28:28.8
801,Goose,179150,30:36.1
802,Kindreddy,179155,43:37.8
803,Findanewgod,179190,32:31.4
804,Shifty,179260,22:55.8
805,kthxbye,179380,45:46.2
806,Mr.Peanut,179563,33:30.8
807,lil juzi squirt,179630,41:18.6
808,DiNGA,179695,35:59.1
809,ApocalypseCoug,179870,27:16.5
810,TheObsidian,179975,30:54.7
811,Mars,180045,38:47.3
