Placement,Name,Score
896,KidIsKid,12:07.95
897,PopMyBloons,12:08.366
898,Domme678,12:08.4
899,DarkWolf,12:08.416
900,1411547056,12:08.7
901,AGK,12:09.117
902,Levi Peterken,12:09.217
903,Artclash,12:09.35
904,Blackcobra,12:09.5
905,Wyx,12:10.05
906,Louis.Yu,12:10.25
907,Bobby,12:10.517
908,Bruh Moment,12:10.616
909,Mendoris,12:10.667
910,LeGenericMemer,12:11.067
911,K,12:11.2
912,SaltyTapWater,12:11.333
913,Eri,12:11.367
914,Das_M4rkus,12:12.216
915,HeroicTiger4856,12:12.417
916,Morale91,12:12.934
917,CottonSwab,12:13.1
918,Fanatos,12:13.184
919,Maxicozzy,12:13.583
920,Oat,12:13.65
921,Birb12,12:13.65
922,KipperTail,12:13.683
923,Hins3105,12:13.733
924,SupaBanana,12:13.933
925,RiZar,12:14.017
926,Acik,12:14.15
927,mrEli,12:14.2
928,EventualPay4,12:14.3
929,HighlyDangerV3,12:14.333
930,Guigui,12:14.384
931,Player8852217,12:14.866
932,MariusOG,12:14.934
933,I_suck,12:15.2
934,Khriss,12:15.35
935,Shauvivivaughn,12:15.8
936,MamaParagonT,12:16.367
937,Player6835342,12:16.466
938,Zeno,12:16.567
939,Seip,12:17.05
940,leostruka,12:17.25
941,Andrew,12:17.284
942,SoloJebachOnly,12:17.683
943,alejandrxl,12:17.983
944,Davidjbj,12:18.1
945,Senor.M,12:18.2
946,Zoroastrianism,12:18.2
947,GantaiCS,12:18.55
948,Player1137001,12:18.7
949,takiojciec,12:19.55
950,Player4204757,12:19.783
951,TheDiscoTiger,12:19.983
952,xinxianxiaoyu,12:20.05
953,LuCarryYou,12:20.084
954,Keegan,12:20.467
955,(NR)Ares,12:20.684
956,guanyu041,12:20.85
957,Lucas Sanders,12:20.866
958,JordanSide,12:21.783
959,KingRock,12:21.867
960,BlackHeaven7,12:22.05
961,Bomdroppa,12:22.467
962,Mantacreep,12:22.7
963,Gunnar,12:22.934
964,Terra_Mas,12:23.167
965,mrRussellx,12:23.45
966,ACE_Jeremiah,12:23.75
967,Player,12:26.217
968,Paike,12:26.267
969,bankennkun,12:26.267
970,Rofl Lp,12:26.884
971,VorteksQc,12:27.117
972,GAME OVER,12:27.267
