Placement,Name,Score
720,a291865033,16:07.684
721,Wallus,16:07.9
722,JDubYeet,16:07.934
723,Kapro,16:07.967
724,jmmaurer30,16:08.25
725,JStokes2202,16:08.417
726,IbonMan,16:08.466
727,Sean Kee,16:08.65
728,Plawiz,16:08.8
729,kacpelek,16:09.333
730,G-Prime,16:09.95
731,Fwal,16:10.6
732,Redmistic,16:10.7
733,NightFury92,16:10.817
734,Prottank,16:11
735,Yeeting74812,16:11.666
736,Watus,16:12.533
737,ashbasher55,16:12.783
738,Soloeinar,16:13.434
739,MamacoAlado,16:13.816
740,utra dos moab,16:13.867
741,DRATEXX,16:14.283
742,El papu,16:15.133
743,Max_Power_HS,16:15.517
744,hendranursalim,16:15.8
745,Ao199,16:16
746,Yes,16:16
747,Darian,16:16.5
748,4070323,16:16.967
749,Houzi2004,16:17.05
750,MX360,16:17.167
751,jord,16:17.416
752,JPBordini,16:17.683
753,LuckBringer7,16:17.683
754,watermelons,16:17.967
755,Heatsanity,16:18.1
756,Tobias,16:18.333
757,Player,16:18.467
758,13,16:18.5
759,cwelson,16:18.533
760,Jonsense,16:18.533
761,Shdwoa,16:18.767
762,NorthKira,16:18.884
763,J,16:18.966
764,Moinboy88,16:19.266
765,Lohse,16:19.45
766,StuHasAStraT,16:19.483
767,DanGerBoDHi,16:19.867
768,Moon Mongrel,16:19.967
769,guardjelly,16:20.067
770,Arxolo,16:20.233
771,Chaos2434,16:20.583
772,Pengu,16:20.867
773,anjinu,16:21.3
774,NinjaHero21761,16:21.516
775,HomingMissel,16:21.617
776,CyanRabbit1372,16:21.8
777,Awesome potato,16:21.884
778,Aplast,16:22.017
779,Mc_Pro_,16:22.15
780,Drax,16:22.3
781,Bedna337,16:22.8
782,HeraKivabr,16:23.183
783,Hollow,16:23.433
784,d0si,16:23.5
785,Erik Fjerstad,16:23.917
786,Einsatzschild,16:24.184
787,Wayne,16:24.2
788,iEric,16:24.3
789,Andy,16:24.383
790,Player3678290,16:24.7
791,TopTower80180,16:25
792,Leo,16:25.184
793,Delta_Jevil,16:25.3
794,Juicy,16:25.583
795,WarrenG1001,16:25.883
796,Breezyboi,16:25.95
797,Funnyname,16:26.1
798,skala00,16:26.533
799,AloneInTokyo,16:26.667
800,Revriley,16:26.7
801,Yiayboi,16:26.85
802,BANANASC,16:26.883
803,affe tobias,16:26.9
804,D4nyl0_Pr0,16:26.934
805,Tic_Tac,16:27.25
806,Dissrupt,16:27.45
807,Pelagiius,16:27.6
808,LiamBeast,16:27.984
809,Kutikunji7,16:28.333
810,MatoLpGames,16:28.467
811,Hunter,16:28.633
812,RAE,16:28.85
813,scootmeiser,16:28.917
814,Kusinaata,16:29.2
815,Jedothey,16:29.317
816,mabrill,16:29.384
817,Po,16:29.45
818,Natsu,16:29.716
819,Irmuun1128,16:29.717
820,Rasmus_K_DK,16:29.767
821,Eagle,16:29.817
822,hectorluffy9,16:30.333
823,DarkSweetHK,16:30.817
824,Horodenski,16:31.15
825,Fellpas,16:31.15
826,Dodoking,16:31.2
827,Dapperpenguin,16:31.684
828,DittoYolo,16:31.75
829,suniL,16:31.884
830,nicolee,16:31.933
831,Brodaug,16:31.933
832,Homeskillet,16:31.933
833,M,16:31.95
834,mitashhh,16:32.3
835,elmaty,16:32.884
836,Oisinbtw,16:32.933
837,FreeWilly11,16:33.033
838,JMoney123,16:33.067
